Sample ID,Alternate ID,Crystal ID,Phase,Event #,Event Date ,Diffusion Timescale,(+) Uncertainty,(-) Uncertainty,Diffusion Timescale,Corresponding Date,(+) Uncertainty,(-) Uncertainty,Timescale ID,Timescale ID,,,,,,,,,
,,,,,(UTC),(Days) (910 C),(Days) (941 C),(Days)  (879 C),(Years) (910 C),(UTC),(UTC),(UTC),,,,,,,,,,,
Sorted by Sample Name,,,,,,,,,,,,,,,,,,,,,,,
AT1609,KLW001,AT1609i,CPx,5,3/23/09,1999,853,4794,5.5,10/2/03,11/21/06,2/6/96,,,,,,,,0,15,3/22/09,3/22/09
AT1610,KLW002,AT1610de,CPx,5,3/23/09,413,176,991,1.1,2/4/08,9/28/08,7/6/06,,,,,,,,,,,
AT1611,AGMcRDT004,AT1611a,CPx,7–8,3/26/09,1343,573,3223,3.7,7/22/05,8/31/07,5/29/00,,,,,,,,,,,
AT1611,AGMcRDT004,AT1611b,CPx,7–8,3/26/09,2271,969,5447,6.2,1/6/03,7/31/06,4/27/94,,,,,,,,,,,
AT1611,AGMcRDT004,AT1611c,CPx,7–8,3/26/09,299,128,722,0.8,5/31/08,11/18/08,4/4/07,,,,,,,,,,,
AT1611,AGMcRDT004,AT1611g3,CPx,7–8,3/26/09,2132,1198,5112,5.8,5/25/03,12/14/05,3/28/95,,,,,,,,,,,
AT1656,KLW037,CPx 1,CPx,9–18,3/27/09,1394,595,3344,3.8,6/2/05,8/10/07,1/30/00,,,,,,,,,,,
AT1656 ,KLW037,CPx 4,CPx,9–18,3/27/09,440,247,1055,1.2,1/12/08,7/23/08,5/7/06,,,,,,,,,,,
AT1765,KLW070C,CPx 2,CPx,2–4,3/22/09,394,168,945,1.1,2/22/08,10/5/08,8/20/06,,,,,,,,,,,
AT1765,KLW070C,AT1765b,CPx,2–4,3/22/09,2504,1068,6006,6.9,5/14/02,4/19/06,10/11/92,,,,,,,,,,,
AT1765,KLW070C,AT1765g,CPx,2–4,3/22/09,2140,913,5132,5.9,5/13/03,9/21/06,3/4/95,,,,,,,,,,,
AT1765,KLW070C,AT1765i,CPx,2–4,3/22/09,4131,1762,9909,11.3,11/29/97,5/25/04,2/3/82,,,,,,,,,,,
AT1953,RGM013,AT1953c,CPx,5,3/23/09,98,40,253,0.3,12/15/08,2/11/09,7/13/08,,,,,,,,,,,
AT1953,RGM013,AT1953o,CPx,5,3/23/09,59,25,143,0.2,1/23/09,2/26/09,10/31/08,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sorted by Timescale,,,,,,,,,,,,,,,,,,,,,,,
AT1765,KLW070C,AT1765i,CPx,2–4,3/22/09,4131,1762,9909,11.3,11/29/97,5/25/04,2/3/82,14,14,,,,,,,,,
AT1765,KLW070C,AT1765b,CPx,2–4,3/22/09,2504,1068,6006,6.9,5/14/02,4/19/06,10/11/92,13,13,,,,,,,,,
AT1611,AGMcRDT004,AT1611b,CPx,7–8,3/26/09,2271,969,5447,6.2,1/6/03,7/31/06,4/27/94,12,12,,,,,,,,,
AT1765,KLW070C,AT1765g,CPx,2–4,3/22/09,2140,913,5132,5.9,5/13/03,9/21/06,3/4/95,11,11,,,,,,,,,
AT1611,AGMcRDT004,AT1611g3,CPx,7–8,3/26/09,2132,1198,5112,5.8,5/25/03,12/14/05,3/28/95,10,10,,,,,,,,,
AT1609,KLW001,AT1609i,CPx,5,3/23/09,1999,853,4794,5.5,10/2/03,11/21/06,2/6/96,9,9,,,,,,,,,
AT1656,KLW037,CPx 1,CPx,9–18,3/27/09,1394,595,3344,3.8,6/2/05,8/10/07,1/30/00,8,8,,,,,,,,,
AT1611,AGMcRDT004,AT1611a,CPx,7–8,3/26/09,1343,573,3223,3.7,7/22/05,8/31/07,5/29/00,7,7,,,,,,,,,
AT1656 ,KLW037,CPx 4,CPx,9–18,3/27/09,440,247,1055,1.2,1/12/08,7/23/08,5/7/06,6,6,,,,,,,,,
AT1610,KLW002,AT1610de,CPx,5,3/23/09,413,176,991,1.1,2/4/08,9/28/08,7/6/06,5,5,,,,,,,,,
AT1765,KLW070C,CPx 2,CPx,2–4,3/22/09,394,168,945,1.1,2/22/08,10/5/08,8/20/06,4,4,,,,,,,,,
AT1611,AGMcRDT004,AT1611c,CPx,7–8,3/26/09,299,128,722,0.8,5/31/08,11/18/08,4/4/07,3,3,,,,,,,,,
AT1953,RGM013,AT1953c,CPx,5,3/23/09,98,40,253,0.3,12/15/08,2/11/09,7/13/08,2,2,,,,,,,,,
AT1953,RGM013,AT1953o,CPx,5,3/23/09,59,25,143,0.2,1/23/09,2/26/09,10/31/08,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bin,Frequency,,,,,,,,,,,,,,,
,,,,,,,2,8,,,,,,,,,,,,,,,
,,,,,,,4,2,,,,,,,,,,,,,,,
,,,,,,,6,3,,,,,,,,,,,,,,,
,,,,,,,8,2,,,,,,,,,,,,,,,
,,,,,,,10,0,,,,,,,,,,,,,,,
,,,,,,,12,1,,,,,,,,,,,,,,,
,,,,,,,More,0,,,,,,,,,,,,,,,